LevelID	Count
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	2
23	2
24	1
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	1
40	2
41	3
42	2
43	3
44	3
45	2
46	3
47	2
48	2
49	3
50	3
51	3
52	3
53	3
54	3
55	3
56	3
57	3
58	3
59	3
60	3
61	3
62	3
63	1
64	3
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	3
73	3
74	3
75	3
76	3
77	3
78	2
79	3
80	3
81	3
82	3
83	3
84	2
85	3
86	3
87	3
88	3
89	3
90	3
91	3
92	3
93	1
94	3
95	3
96	3
97	3
98	3
99	2
100	3
101	3
102	3
103	4
104	3
105	4
106	3
107	4
108	3
109	4
110	3
111	2
112	4
113	3
114	4
115	3
116	4
117	3
118	4
119	3
120	5
121	2
122	3
123	4
124	2
125	3
126	4
127	2
128	3
129	4
130	2
131	3
132	4
133	2
134	3
135	4
136	2
137	3
138	4
139	2
